attendance,study_hours,prev_marks,assignment,internal,predicted_score
90.0,1.6,15.851063829787234,7.680851063829788,13.26595744680851,65
90.0,2.0,20.319148936170215,14.255319148936174,19.287234042553195,65
60.0,1.0,19.148936170212767,14.319148936170215,16.23404255319149,40
60.0,2.5,29.25531914893617,23.404255319148938,25.329787234042552,40
60.0,5.0,41.91489361702128,29.53191489361702,32.72340425531915,65
60.0,3.0,53.404255319148945,44.72340425531916,43.06382978723405,65
60.0,1.2,20.212765957446805,15.170212765957444,14.191489361702125,40
90.0,1.0,30.851063829787233,24.680851063829788,28.76595744680851,65
90.0,2.1,33.829787234042556,29.063829787234045,27.446808510638302,65
90.0,8.0,64.8936170212766,53.91489361702128,53.40425531914894,65
90.0,8.8,64.8936170212766,52.91489361702128,56.40425531914894,85
90.0,1.0,16.48936170212766,10.191489361702128,9.840425531914894,65
60.0,1.0,7.446808510638298,1.957446808510639,2.702127659574468,40
60.0,1.4,19.04255319148936,15.23404255319149,16.138297872340427,40
60.0,7.0,61.063829787234035,51.85106382978723,56.95744680851063,85
90.0,4.0,49.361702127659576,40.48936170212767,47.42553191489362,65
60.0,3.0,58.29787234042553,44.638297872340424,55.46808510638298,65
60.0,1.3,72.87234042553192,57.297872340425535,69.58510638297872,65
90.0,1.5,80.74468085106383,64.59574468085107,72.67021276595746,65
90.0,5.0,83.51063829787235,61.808510638297875,72.15957446808511,85
60.0,6.0,74.04255319148936,57.23404255319149,63.63829787234043,65
90.0,1.2,46.595744680851055,36.27659574468085,42.93617021276595,65
90.0,2.1,53.08510638297872,46.46808510638298,43.776595744680854,65
60.0,1.0,27.659574468085108,17.127659574468087,28.893617021276597,40
60.0,1.0,37.87234042553192,30.297872340425535,32.08510638297873,40
60.0,1.0,30.21276595744681,23.170212765957448,30.19148936170213,40
90.0,1.9,32.659574468085104,30.127659574468083,29.393617021276594,65
60.0,1.5,28.08510638297872,19.468085106382976,23.276595744680847,40
90.0,8.5,57.87234042553191,43.29787234042553,53.08510638297872,65
90.0,9.0,35.21276595744681,27.17021276595745,31.691489361702132,65
90.0,8.0,59.04255319148937,43.2340425531915,51.13829787234043,85
60.0,1.0,18.29787234042553,18.638297872340424,19.46808510638298,40
60.0,1.9,29.361702127659576,21.489361702127663,27.425531914893618,40
60.0,2.2,25.744680851063826,21.595744680851062,20.170212765957444,40
60.0,1.1,26.80851063829787,18.4468085106383,24.127659574468083,40
60.0,1.2,22.76595744680851,13.212765957446809,18.48936170212766,40
60.0,1.0,15.106382978723405,15.085106382978724,13.595744680851064,40
90.0,5.4,67.76595744680851,56.21276595744681,61.98936170212767,65
60.0,1.0,2.127659574468085,0.0,1.9148936170212767,40
90.0,9.0,61.063829787234035,51.85106382978723,55.95744680851063,65
60.0,1.3,42.34042553191489,28.87234042553191,33.1063829787234,40
90.0,2.0,36.06382978723404,29.851063829787236,29.45744680851064,65
60.0,1.2,22.23404255319149,17.78723404255319,15.01063829787234,40
90.0,3.5,63.40425531914894,52.72340425531915,59.06382978723404,65
90.0,3.3,64.7872340425532,55.829787234042556,57.308510638297875,65
60.0,1.2,46.808510638297875,40.4468085106383,44.12765957446809,40
60.0,1.0,18.404255319148938,12.723404255319151,20.563829787234045,40
90.0,1.0,78.51063829787233,59.80851063829787,73.6595744680851,85
90.0,8.0,59.46808510638297,44.57446808510638,52.52127659574467,85
90.0,3.9,60.851063829787236,43.68085106382979,49.765957446808514,65
60.0,1.4,46.170212765957444,33.93617021276596,39.5531914893617,40
60.0,1.5,42.4468085106383,33.95744680851064,40.20212765957447,40
90.0,9.0,42.23404255319149,31.787234042553195,33.01063829787235,65
90.0,7.0,59.57446808510638,45.65957446808511,55.61702127659574,85
60.0,5.0,21.48936170212766,16.19148936170213,22.340425531914896,40
60.0,1.4,17.02127659574468,8.617021276595745,18.319148936170215,40
60.0,1.0,7.446808510638298,5.957446808510639,6.702127659574468,40
60.0,1.0,5.531914893617022,0.4255319148936172,0.9787234042553195,40
90.0,6.0,39.57446808510638,35.65957446808511,39.61702127659574,65
90.0,2.2,34.57446808510639,30.65957446808511,29.11702127659575,65
60.0,1.0,23.297872340425528,18.638297872340424,23.968085106382976,40
90.0,7.0,44.04255319148936,30.234042553191493,43.638297872340424,65
90.0,9.0,82.97872340425532,70.38297872340426,70.68085106382979,85
90.0,1.3,15.212765957446809,15.170212765957448,15.691489361702128,65
60.0,1.0,2.5531914893617023,0.042553191489361986,0.2978723404255321,40
60.0,1.0,18.085106382978726,16.46808510638298,17.276595744680854,40
60.0,1.0,27.97872340425532,18.382978723404257,24.180851063829788,65
90.0,7.5,68.19148936170211,53.553191489361694,64.3723404255319,85
90.0,6.9,45.744680851063826,39.59574468085106,43.170212765957444,85
90.0,4.0,32.34042553191489,22.872340425531913,25.1063829787234,65
60.0,3.0,15.53191489361702,10.425531914893618,9.97872340425532,40
90.0,2.2,21.808510638297875,18.446808510638302,16.627659574468087,65
90.0,1.0,8.191489361702127,10.553191489361701,4.372340425531914,40
60.0,3.0,21.702127659574465,15.361702127659573,15.53191489361702,65
90.0,1.0,12.021276595744682,4.617021276595747,11.819148936170214,40
90.0,9.0,54.04255319148936,39.23404255319149,44.638297872340424,65
90.0,7.0,36.06382978723404,30.851063829787236,27.45744680851064,65
90.0,8.0,30.957446808510642,24.765957446808514,30.86170212765958,65
60.0,1.0,11.27659574468085,12.02127659574468,6.148936170212766,40
90.0,9.0,65.2127659574468,47.170212765957444,56.691489361702125,85
90.0,1.5,25.957446808510635,24.76595744680851,21.361702127659573,40
60.0,2.5,40.0,35.0,35.0,40
60.0,1.0,45.21276595744681,36.17021276595745,35.69148936170213,40
60.0,1.0,30.957446808510642,24.765957446808514,26.86170212765958,65
60.0,7.0,31.914893617021278,24.531914893617024,25.72340425531915,85
60.0,1.0,6.914893617021277,9.53191489361702,4.223404255319149,40
90.0,1.2,57.446808510638306,46.957446808510646,51.70212765957448,85
90.0,7.0,33.297872340425535,24.63829787234043,32.968085106382986,40
90.0,1.2,19.361702127659576,12.489361702127662,13.425531914893618,40
60.0,2.0,28.404255319148934,25.72340425531915,26.56382978723404,40
60.0,1.0,35.319148936170215,30.255319148936174,35.787234042553195,40
90.0,9.0,47.340425531914896,32.87234042553192,42.60638297872341,85
90.0,7.0,27.97872340425532,26.382978723404257,27.180851063829788,85
90.0,8.9,47.340425531914896,34.87234042553192,37.60638297872341,85
60.0,4.4,38.297872340425535,25.63829787234043,31.46808510638298,40
90.0,8.0,69.57446808510639,58.65957446808511,65.61702127659575,85
90.0,6.0,46.702127659574465,39.361702127659576,46.03191489361702,85
90.0,1.0,16.382978723404257,12.106382978723406,11.744680851063832,65
90.0,1.0,19.148936170212767,11.319148936170215,14.23404255319149,65
60.0,1.0,44.46808510638298,34.57446808510638,40.02127659574468,65
90.0,9.0,72.3404255319149,57.872340425531924,63.10638297872342,65
90.0,9.2,36.702127659574465,29.361702127659573,37.03191489361702,85
60.0,1.0,5.319148936170213,6.25531914893617,1.7872340425531918,40
60.0,1.0,6.914893617021277,8.53191489361702,6.223404255319149,40
60.0,1.2,2.2340425531914896,0.0,5.01063829787234,65
60.0,1.0,43.61702127659575,38.893617021276604,39.255319148936174,40
90.0,2.6,26.595744680851062,25.27659574468085,22.93617021276596,65
90.0,9.0,48.61702127659574,41.8936170212766,43.75531914893617,85
60.0,1.2,4.8936170212765955,7.914893617021276,0.0,65
