attendance,study_hours,previous_marks,assignment_score,internal_marks,final_score
62.47,6.83,72.53,78.74,74.56,77.81
97.04,2.55,35.2,64.15,60.39,63.2
83.92,8.85,45.75,68.31,33.62,70.94
75.92,6.52,80.29,83.0,89.7,88.72
49.36,2.41,64.36,92.58,93.72,72.25
49.36,9.66,90.32,56.33,58.02,80.69
43.49,5.67,57.87,60.52,69.89,63.08
91.97,1.66,86.54,95.84,59.27,74.36
76.07,6.64,59.18,74.71,50.92,71.92
82.48,3.28,93.65,50.74,35.03,59.66
41.24,8.23,92.39,79.82,59.64,81.37
98.19,8.36,51.39,99.45,83.19,89.86
89.95,9.81,87.59,89.41,31.11,80.22
52.74,5.52,85.09,84.74,67.84,77.98
50.91,5.09,43.69,52.48,87.25,65.6
51.0,7.78,70.58,92.57,44.14,74.18
58.25,2.19,34.72,71.55,41.91,51.68
71.49,5.92,84.39,93.36,80.2,83.69
65.92,5.92,41.35,59.79,46.58,58.6
57.47,1.81,34.6,43.72,42.48,44.69
76.71,4.76,56.01,68.56,54.57,66.03
48.37,8.68,67.5,56.19,55.51,68.95
57.53,8.71,85.57,82.91,86.82,88.24
61.98,1.89,93.33,97.43,70.2,72.18
67.36,1.82,58.57,81.46,56.39,58.1
87.11,3.36,33.93,93.22,64.74,66.79
51.98,8.87,78.69,67.18,92.01,86.91
70.85,2.16,66.74,86.3,37.36,58.4
75.54,7.48,59.11,90.58,43.5,71.34
42.79,1.91,50.1,82.65,92.56,65.37
76.45,6.61,62.66,70.47,92.23,78.18
50.23,4.2,52.01,77.55,41.52,56.69
43.9,8.1,79.21,82.03,39.43,73.26
96.93,3.1,65.35,55.19,57.37,60.76
97.94,6.75,87.0,88.57,33.23,77.62
88.5,3.12,65.33,97.02,72.57,74.09
58.28,7.42,45.49,67.91,35.04,62.09
45.86,8.86,85.32,82.06,33.77,72.95
81.05,2.14,66.22,84.22,61.54,66.87
66.41,8.8,43.44,79.73,92.26,84.4
47.32,6.34,70.53,72.83,57.74,71.6
69.71,2.14,53.25,92.9,53.17,61.68
42.06,4.85,84.89,66.94,94.87,75.85
94.56,2.45,59.46,43.67,64.58,60.51
55.53,7.3,77.22,90.67,54.39,75.74
79.75,7.83,36.21,80.44,55.08,71.72
58.7,1.95,55.74,90.96,42.67,54.98
71.2,5.56,93.91,48.31,63.29,70.66
